effect,component,group,term,estimate,std.error,statistic,p.value,pair,fgroup,conf.low,conf.high
fixed,cond,NA,typeNatural:periodPost,0.39409311020016774,0.2185036088268594,-1.803600006041292,0.07129403513776017,No Name,Grazer,-0.034173963100476656,0.8223601835008121
fixed,cond,NA,typeNatural:periodPost,0.3447171854386252,0.2730546638929194,-1.2624475279931817,0.20678779620403928,No Name,Invertivore,-0.19046995579149684,0.8799043266687472
fixed,cond,NA,typeNatural:periodPost,0.02388807693916819,0.4731521070432392,-0.05048709830005083,0.9597342303589586,No Name,Mesopredator,-0.9034900528655806,0.9512662067439169
fixed,cond,NA,typeNatural:periodPost,2.5485031940222025,0.415679010827762,-6.130940287187566,8.736119271489353e-10,No Name,HTLP,1.7337723327997892,3.363234055244616
fixed,cond,NA,typeNatural:periodPost,3.2009981951776596,0.5690628799820583,-5.625034258566615,1.8547116238854544e-8,Aow Mao,Grazer,2.0856349504128255,4.316361439942494
fixed,cond,NA,typeNatural:periodPost,17.941827741694514,2035.787293301336,-0.008813213345387934,0.9929681641710847,Aow Mao,Invertivore,-3972.201267128924,4008.0849226123128
fixed,cond,NA,typeNatural:periodPost,2.4695794733597527,0.8081818281316786,-3.055722595333311,0.0022451887645733976,Aow Mao,Mesopredator,0.8855430902216626,4.053615856497843
fixed,cond,NA,typeNatural:periodPost,1.7962778365129015,0.9042783828179524,-1.9864212953042855,0.046986563996822765,Aow Mao,HTLP,0.023892206189714882,3.568663466836088
