"parameter","mean","sd","lower95","upper95","prob_less0","prob_greater0","interpretation"
"b_Intercept",1.49406110234112,0.15602873862094,1.19072716536963,1.80330717405231,0,1,"Strong positive effect"
"b_TypeNatural",0.406374670520222,0.181871980097228,0.043583626152151,0.757063959782763,0.013875,0.986125,"Strong positive effect"
"b_TypeNatural:deployment_periodPost",-0.188594613517953,0.162091524317603,-0.500396776707675,0.134942785195453,0.873375,0.126625,"Likely negative effect"
"b_deployment_periodPost",0.163560006191335,0.135209267461118,-0.10180865601342,0.423366111409769,0.117125,0.882875,"Likely positive effect"
