effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),2.788188145449068,0.2762015138118181,10.094760549895895,5.827311642583222e-24
fixed,cond,typeArtificial,-0.11337268332562002,0.39237295179598525,-0.288941128094294,0.7726264297032877
fixed,cond,fgroupInvertivore,-2.447024554698575,0.06979045682726671,-35.06245217386995,2.5190449648387935e-269
fixed,cond,fgroupMesopredator,-0.46779697139177795,0.07694876951523917,-6.079330109354562,1.206856737921535e-9
fixed,cond,fgroupHTLP,-1.0133413718843978,0.08375148101938676,-12.099384507001494,1.0640596792779039e-33
fixed,cond,typeArtificial:fgroupInvertivore,-0.7375008671514721,0.11196498566642517,-6.586888416604565,4.491395630134188e-11
fixed,cond,typeArtificial:fgroupMesopredator,0.165867224823109,0.1240398741508647,1.3372089093009831,0.18115445455834536
fixed,cond,typeArtificial:fgroupHTLP,0.41712498118057906,0.12321754179807762,3.385272706252665,7.11075718769021e-4
