Date,fgroup,ratio,lower,upper
2025-05-27,Grazer,0.53212431667595,0.39674675366756434,0.7136952874354314
2025-06-05,Grazer,0.5334105626793348,0.39700394206641487,0.7166851464922886
2025-06-14,Grazer,0.5346999177847275,0.39725367504547604,0.7197013395691434
2025-06-23,Grazer,0.5359923895074202,0.3974960749834457,0.7227438450098875
2025-07-02,Grazer,0.537287985380872,0.3977312631481858,0.7258126428122422
2025-07-11,Grazer,0.5385867129567512,0.397959359639703,0.7289077146877037
2025-07-20,Grazer,0.5398885798049801,0.3981804833380689,0.7320290441165649
2025-07-30,Grazer,0.541193593513779,0.3983947518560746,0.7351766163982201
2025-08-08,Grazer,0.5425017616897103,0.39860228149641497,0.7383504186969543
2025-08-17,Grazer,0.5438130919577229,0.3988031872131965,0.7415504400834259
2025-08-26,Grazer,0.5451275919611968,0.3989975825775698,0.7447766715720412
2025-09-04,Grazer,0.5464452693619872,0.39918557974728247,0.748029106154423
2025-09-13,Grazer,0.5477661318404698,0.39936728943996025,0.7513077388291695
2025-09-22,Grazer,0.5490901870955853,0.39954282090992016,0.754612566628097
2025-10-01,Grazer,0.5504174428448837,0.39971228192832675,0.757943588639153
2025-10-10,Grazer,0.5517479068245701,0.3998757787665104,0.7613008060261891
2025-10-20,Grazer,0.5530815867895497,0.4000334161822649,0.7646842220457678
2022-11-01,Invertivore,0.1945816426925318,0.15194603069610907,0.24918068276918573
2022-11-10,Invertivore,0.19505198364933823,0.15255907089624282,0.24938062418731388
2022-11-19,Invertivore,0.19552346150997907,0.15317068086910202,0.2495870866665058
2022-11-28,Invertivore,0.1959960790225675,0.15378074673651337,0.24980021106308933
2022-12-07,Invertivore,0.19646983894185982,0.1543891526487772,0.250020140350489
2022-12-16,Invertivore,0.19694474402927115,0.15499578084467416,0.2502470195600031
2022-12-25,Invertivore,0.19742079705289117,0.15560051171907222,0.25048099571398535
2023-01-03,Invertivore,0.19789800078750078,0.1562032238984111,0.25072221775115383
2023-01-12,Invertivore,0.19837635801458806,0.15680379432432393,0.2509708364437672
2023-01-21,Invertivore,0.19885587152236428,0.15740209834562868,0.2512270043064343
2023-01-31,Invertivore,0.19933654410578058,0.15799800981889908,0.2514908754963498
2023-02-09,Invertivore,0.19981837856654391,0.15859140121778745,0.25176260570478165
2023-02-18,Invertivore,0.20030137771313372,0.1591821437512392,0.25204235203967174
2023-02-27,Invertivore,0.20078554436081744,0.15977010749069534,0.25233027289925075
2023-03-08,Invertivore,0.2012708813316683,0.16035516150633808,0.25262652783661926
2023-03-17,Invertivore,0.20175739145458071,0.16093717401237728,0.252931277415287
2023-03-26,Invertivore,0.20224507756528676,0.16151601252133016,0.25324468305572556
2023-04-04,Invertivore,0.20273394250637355,0.16209154400718342,0.2535669068730451
2023-04-13,Invertivore,0.20322398912729894,0.16266363507726392,0.25389811150596353
2023-04-23,Invertivore,0.2037152202844087,0.1632321521525824,0.2542384599373097
2023-05-02,Invertivore,0.2042076388409526,0.16379696165634164,0.25458811530636494
2023-05-11,Invertivore,0.20470124766710185,0.16435793021023204,0.254947240713424
2023-05-20,Invertivore,0.20519604963996493,0.16491492483806075,0.2553159990170243
2023-05-29,Invertivore,0.2056920476436054,0.16546781317618883,0.2556945526243748
2023-06-07,Invertivore,0.20618924456905766,0.16601646369017067,0.256083063275584
2023-06-16,Invertivore,0.20668764331434455,0.16656074589691963,0.2564816918223694
2023-06-25,Invertivore,0.20718724678449388,0.16710053059164362,0.25689059800199965
2023-07-04,Invertivore,0.20768805789155556,0.16763569007872683,0.25730994020729675
2023-07-14,Invertivore,0.20819007955461832,0.1681660984056607,0.25773987525359227
2023-07-23,Invertivore,0.20869331469982702,0.16869163159906414,0.25818055814360064
2023-08-01,Invertivore,0.20919776626039968,0.16921216790177301,0.2586321418312274
2023-08-10,Invertivore,0.20970343717664425,0.1697275880099229,0.2590947769853879
2023-08-19,Invertivore,0.2102103303959759,0.1702377753089066,0.259568611754958
2023-08-28,Invertivore,0.21071844887293456,0.17074261610704689,0.26005379153601343
2023-09-06,Invertivore,0.21122779556920168,0.1712419998657971,0.2605504587425462
2023-09-15,Invertivore,0.21173837345361768,0.1717358194252646,0.26105875258186306
2023-09-24,Invertivore,0.21225018550219918,0.1722239712238441,0.2615788088358797
2023-10-04,Invertivore,0.21276323469815644,0.17270635551075084,0.2621107596495191
2023-10-13,Invertivore,0.21327752403191094,0.17318287655026063,0.2626547333274093
2023-10-22,Invertivore,0.21379305650111197,0.1736534428164904,0.26321085414004364
2023-10-31,Invertivore,0.2143098351106553,0.1741179671775958,0.26377924214053206
2023-11-09,Invertivore,0.2148278628727,0.17457636706830962,0.2643600129930145
2023-11-18,Invertivore,0.2153471428066858,0.17502856464981356,0.2649532778137453
2023-11-27,Invertivore,0.21586767793935138,0.17547448695601034,0.26555914302578576
2023-12-06,Invertivore,0.21638947130475136,0.17591406602534518,0.2661777102281491
2023-12-15,Invertivore,0.2169125259442743,0.17634723901742635,0.2668090760801532
2023-12-25,Invertivore,0.21743684490666038,0.17677394831379475,0.26745333220162976
2024-01-03,Invertivore,0.21796243124801937,0.17719414160230448,0.2681105650895273
2024-01-12,Invertivore,0.2184892880318479,0.1776077719446931,0.2687808560513288
2024-01-21,Invertivore,0.2190174183290478,0.1780147978270436,0.26946428115558513
2024-01-30,Invertivore,0.21954682521794405,0.17841518319296087,0.2701609111997379
2024-02-08,Invertivore,0.2200775117843022,0.1788088974594126,0.27087081169528276
2024-02-17,Invertivore,0.22060948112134693,0.17919591551531075,0.27159404287019934
2024-02-26,Invertivore,0.22114273632977977,0.17957621770302967,0.27233065968844844
2024-03-06,Invertivore,0.221677280517797,0.17994978978317816,0.27308071188622074
2024-03-16,Invertivore,0.22221311680110842,0.18031662288305764,0.27384424402450713
2024-03-25,Invertivore,0.22275024830295478,0.1806767134293432,0.27462129555744813
2024-04-03,Invertivore,0.22328867815412656,0.1810300630656293,0.27541190091582757
2024-04-12,Invertivore,0.22382840949298177,0.1813766785555684,0.2762160896049766
2024-04-21,Invertivore,0.22436944546546422,0.181716571672417,0.27703388631627673
2024-04-30,Invertivore,0.22491178922512256,0.18204975907587326,0.27786531105137807
2024-05-09,Invertivore,0.2254554439331278,0.18237626217714945,0.27871037925818626
